maize	scallion	guava	mushroom	cabbage	lentil	olive	raisin	persimmon	caraway	kohlrabi	cauliflower	eggplant	nectarine	okra	clementine	leek	pumpkin	horseradish	basil	spinach	grape	chickpea	strawberry	oregano	ginger	parsley	tomato	mustard	butternut	coconut	huckleberry	type
100	0	2	86	28	24	72	96	0	47	2	123	85	163	1	154	120	37	0	747	0	100	2	122	160	40	132	0	2	0	156	3	1
68	377	51	116	77	233	25	92	69	133	551	50	281	136	44	40	74	29	4	53	88	73	0	193	11	101	16	0	218	0	102	549	7
50	0	3	31	90	132	60	364	0	154	0	72	46	0	0	298	1	80	0	0	0	36	1	0	51	120	253	2	0	2	48	1	0
64	41	212	42	116	96	42	113	553	81	98	134	34	1	34	65	1	41	159	0	125	253	260	0	80	98	114	152	119	126	168	318	14
100	1	60	173	237	216	114	78	1	43	223	15	136	162	0	123	290	86	1	232	123	50	1	393	211	221	47	0	118	4	95	0	3
163	1	0	23	21	207	163	128	1	6	0	42	27	2	0	144	1	89	0	1	1	127	1	2	114	47	59	1	0	0	99	1	0
43	232	136	107	95	124	87	207	67	51	86	87	5	281	689	265	166	62	99	68	28	21	171	32	56	78	176	130	257	84	194	119	15
111	0	387	96	17	116	132	132	1	35	491	35	98	0	0	76	1	74	376	3	282	97	71	0	141	14	105	47	176	94	55	3	10
30	285	2	93	64	200	6	45	383	188	0	138	247	172	249	57	91	163	1	184	2	33	1	97	148	29	19	0	0	0	78	113	5
233	296	1	17	77	158	317	37	607	105	0	373	213	615	65	44	265	234	76	657	0	140	89	106	159	138	3	109	0	469	81	143	13
76	381	154	24	109	87	102	67	716	127	122	82	224	3	234	19	0	113	0	0	568	11	1	2	208	75	32	1	117	0	46	455	6
11	1	237	62	161	23	13	259	0	23	63	70	159	0	0	248	0	69	255	1	76	188	86	0	36	177	183	36	103	217	120	1	10
29	62	251	40	277	138	96	84	451	179	267	92	10	5	267	119	0	193	239	2	239	50	46	1	84	69	143	252	104	94	194	510	14
1	368	2	75	25	33	2	137	191	177	3	8	72	525	41	98	397	61	0	217	1	277	0	350	84	83	139	2	0	3	175	28	5
215	0	1	95	37	101	32	72	2	155	1	43	32	102	3	84	137	136	2	259	0	13	1	81	138	90	56	0	0	0	96	1	1
38	206	0	20	82	63	53	205	35	205	0	287	221	65	49	13	283	40	1	147	1	90	0	42	7	52	206	2	2	2	134	126	5
108	0	75	175	77	16	43	134	0	150	134	85	172	0	5	133	0	68	252	0	178	64	246	0	115	87	153	114	89	71	3	0	10
81	2	2	37	113	127	49	35	2	147	1	53	132	24	0	51	237	58	0	379	1	44	0	97	115	112	43	2	1	0	85	0	1
246	470	367	27	12	227	16	73	357	133	98	131	34	2	22	40	0	204	0	1	240	175	1	1	75	69	28	0	264	1	48	575	6
181	116	1	84	111	69	146	154	377	141	0	195	74	1	453	357	1	112	71	2	0	40	119	4	82	165	109	135	0	189	109	550	12
32	1	261	74	74	111	52	290	1	90	107	116	178	4	0	151	0	44	148	1	414	205	91	0	44	236	155	79	353	148	32	2	10
43	2	121	44	88	210	262	66	3	131	92	200	153	227	0	38	306	56	255	2	129	102	72	16	101	10	83	56	130	61	109	2	11
11	0	63	188	29	154	228	201	1	180	341	88	43	2	1	19	2	37	2	3	91	118	2	0	144	1	148	3	572	0	121	0	2
126	0	1	73	25	73	28	78	0	22	0	52	334	1	0	9	0	70	166	1	0	54	121	1	125	34	62	78	0	624	84	3	8
22	243	191	81	33	95	9	141	168	159	95	315	232	290	175	281	374	82	328	141	306	36	77	190	41	70	157	173	228	224	116	118	15
105	324	3	54	125	85	23	99	595	136	0	70	6	283	197	90	161	32	160	283	1	68	411	92	37	108	183	186	3	101	196	441	13
161	0	489	145	100	68	320	30	2	51	384	169	155	197	0	119	211	90	137	76	203	82	59	128	403	179	289	22	291	873	161	0	11
94	4	2	300	104	16	54	133	0	130	5	100	58	1	1	156	2	150	0	1	0	6	1	1	46	118	122	1	1	2	259	0	0
74	394	182	44	50	431	85	39	535	69	109	75	49	4	37	208	1	53	61	1	62	105	123	0	102	88	25	276	151	99	161	514	14
82	1	72	78	41	147	91	144	0	125	6	56	132	2	4	93	0	90	0	0	327	181	0	1	126	35	73	2	173	3	335	6	2
206	4	2	215	86	117	183	145	0	164	6	109	100	58	0	16	95	7	65	47	2	21	407	24	122	375	80	196	3	289	142	0	9
23	3	106	64	110	365	76	119	4	272	320	73	64	101	6	79	188	55	128	621	97	155	145	191	180	78	26	23	254	67	95	1	11
18	2	261	107	101	92	140	50	1	128	599	16	33	0	3	63	1	16	0	2	139	115	0	0	160	29	87	0	55	2	24	0	2
91	230	9	55	72	136	41	60	267	133	307	122	163	0	98	155	1	30	1	0	636	40	2	0	126	87	138	0	66	0	28	62	6
41	244	0	64	29	54	83	60	12	74	4	93	69	1	152	20	0	125	0	2	0	59	0	0	158	81	106	1	0	1	50	186	4
25	0	2	20	256	42	18	30	0	7	1	183	81	93	3	54	292	33	101	72	1	32	182	154	151	45	174	186	0	726	70	1	9
103	276	0	229	90	123	92	7	314	50	2	55	99	271	194	46	212	106	1	303	1	54	1	63	187	109	45	4	2	1	138	183	5
228	293	206	16	40	155	9	30	327	160	78	190	85	2	195	78	0	25	80	0	76	58	164	0	0	82	229	295	109	122	176	201	14
72	0	98	61	133	47	375	63	0	28	196	165	118	0	0	46	0	111	0	2	108	136	0	2	41	152	163	1	224	2	32	0	2
47	100	576	176	86	10	112	123	390	28	88	96	107	2	63	40	2	13	0	1	237	51	0	0	72	145	249	0	612	0	268	223	6
166	361	376	37	21	398	110	49	531	22	157	96	14	0	64	78	5	113	152	1	44	78	139	1	172	104	91	111	145	412	79	289	14
139	0	1	37	94	88	51	91	0	241	2	158	24	366	1	61	69	144	0	508	1	5	1	53	80	24	8	3	1	1	65	0	1
122	0	1	59	59	121	135	101	2	35	0	39	149	0	0	34	0	70	298	1	0	148	40	0	29	166	135	318	0	364	44	0	8
205	591	226	28	45	183	140	175	211	57	13	72	71	5	207	56	3	66	0	1	121	104	2	1	124	46	45	0	217	1	130	437	6
302	3	16	16	104	68	10	19	1	108	55	105	152	0	0	12	0	144	77	0	191	293	88	0	42	78	24	167	181	292	218	3	10
68	0	2	258	217	2	62	38	1	102	2	106	79	6	0	20	138	81	374	349	0	73	255	155	155	262	151	239	0	60	250	5	9
11	146	33	19	158	166	21	254	179	211	433	80	23	5	656	105	1	91	135	1	85	39	329	0	24	15	43	34	61	274	43	178	14
119	1	0	125	16	99	16	145	0	71	2	136	8	1	4	146	1	25	126	0	0	212	143	2	93	131	149	331	0	137	40	0	8
118	1	0	60	95	24	81	14	0	103	2	48	103	1	1	45	0	218	1	1	2	396	1	3	140	58	10	1	0	4	64	1	0
192	0	1	54	111	28	37	192	1	91	1	102	82	207	3	98	298	136	0	164	1	89	2	106	32	43	105	1	2	1	26	2	1
94	80	112	58	184	117	166	47	160	72	232	143	11	1	55	22	0	147	22	0	99	72	40	1	77	45	160	353	243	59	53	26	14
34	0	1	148	45	302	16	53	0	183	0	32	193	0	0	157	0	65	1	1	2	224	0	1	151	130	158	2	0	1	177	0	0
100	85	0	63	39	7	66	140	222	191	2	199	4	0	121	53	2	149	1	2	1	35	2	1	102	145	41	0	0	1	48	139	4
290	2	91	89	47	18	26	37	0	36	202	104	33	1	6	9	2	167	136	0	203	6	132	0	112	151	87	24	443	151	78	1	10
62	0	1311	79	201	267	20	127	0	480	224	105	81	48	0	19	115	74	0	388	136	34	0	45	218	109	175	0	278	2	103	0	3
29	0	185	58	21	68	84	77	1	17	279	84	165	1	2	174	0	41	0	0	439	113	1	1	60	34	322	1	187	0	126	0	2
222	0	50	236	178	22	96	198	1	241	401	52	334	78	0	50	245	51	318	107	48	13	26	109	117	98	23	389	311	175	36	1	11
74	114	86	145	103	58	76	155	100	168	514	37	72	1	172	360	2	127	1	0	89	79	1	0	14	15	105	0	115	0	9	216	6
55	30	521	355	140	65	116	115	50	147	159	80	24	162	290	71	57	46	214	70	102	53	100	311	187	97	109	309	162	367	56	130	15
65	2	323	9	259	34	99	208	0	43	186	53	24	1	1	182	0	115	1	0	236	28	0	0	63	27	111	1	407	0	53	3	2
19	2	102	14	91	41	62	45	0	115	329	32	257	4	3	8	0	128	1	2	55	55	2	1	26	336	96	2	121	0	103	0	2
19	215	32	5	90	194	57	60	52	134	158	93	78	265	137	278	200	286	300	328	244	41	213	68	100	42	107	145	204	271	173	328	15
6	1	73	27	12	117	245	157	3	40	107	21	109	1	0	47	0	43	3	2	30	203	0	0	77	80	73	1	145	1	20	0	2
265	2	148	196	421	36	39	55	3	37	134	9	136	3	0	25	3	52	1	2	311	57	0	0	365	9	29	0	189	2	64	2	2
134	0	173	85	140	238	100	188	0	173	58	129	31	1	0	26	1	90	405	3	568	38	788	0	66	89	84	235	307	164	113	0	10
81	1	2	170	87	120	114	50	1	117	1	56	48	0	1	168	1	249	0	4	1	3	0	0	287	77	25	0	0	0	55	0	0
190	396	39	24	88	44	167	78	47	161	32	102	35	0	377	68	3	72	6	1	86	24	0	4	105	123	82	2	132	2	215	123	6
131	247	0	130	84	119	84	67	92	206	1	219	17	1	11	11	0	54	106	0	0	111	628	0	125	158	256	462	0	113	117	132	12
46	35	2	73	0	85	150	147	68	63	0	166	7	1	398	112	4	49	3	1	0	13	0	1	42	85	41	1	2	0	36	220	4
30	1	343	31	20	150	48	99	4	40	210	143	100	0	2	63	3	114	27	1	239	183	382	0	79	32	58	101	266	201	110	0	10
99	0	0	51	143	93	65	61	0	73	0	83	14	2	1	124	3	116	0	0	1	16	1	0	31	50	137	1	2	7	105	0	0
15	0	1	91	165	145	196	71	0	38	4	34	129	0	4	63	2	85	2	0	0	148	2	0	58	69	82	0	0	2	17	1	0
126	0	1	173	63	81	29	444	0	1	3	7	110	80	0	111	101	180	0	124	1	241	0	87	133	42	126	2	1	1	25	0	1
54	3	129	7	16	120	17	113	4	158	99	46	186	5	0	72	1	137	170	1	45	224	71	0	95	154	29	939	179	21	63	0	10
60	0	210	301	84	75	29	46	0	88	124	154	52	1	1	179	2	13	265	0	198	182	101	1	125	124	31	458	212	644	44	1	10
233	4	180	105	167	66	26	185	1	57	9	84	226	165	1	192	56	124	2	837	181	269	3	91	48	54	44	2	171	1	36	0	3
117	91	134	39	92	16	23	120	70	218	121	56	57	52	68	152	291	63	0	100	156	146	2	88	160	120	54	2	28	1	141	183	7
41	129	1	93	171	32	188	232	394	111	0	148	89	1	425	133	0	175	65	4	0	61	291	1	26	95	107	161	3	15	5	173	12
64	554	115	137	170	150	72	72	395	61	98	90	55	368	47	214	33	145	1	136	398	366	1	168	145	117	219	0	157	2	310	272	7
121	119	59	185	53	100	93	42	19	75	48	86	94	95	22	132	81	55	0	109	227	7	0	388	98	160	35	0	231	0	9	146	7
26	0	0	12	66	46	26	26	0	98	2	481	38	373	0	247	233	51	147	78	1	49	546	271	94	24	12	383	5	236	155	1	9
126	84	1	82	12	166	79	72	240	167	0	124	53	209	101	36	17	197	86	64	3	99	38	59	73	101	91	112	1	32	91	188	13
214	1	2	205	7	88	95	44	0	80	0	77	71	3	2	18	2	80	123	3	0	43	255	1	18	43	120	12	0	224	91	0	8
55	293	0	33	29	58	125	50	396	33	0	31	237	229	79	56	294	64	0	12	2	172	0	26	388	4	59	0	0	0	29	241	5
87	0	1	113	35	118	57	58	2	35	0	145	19	177	1	119	116	140	157	159	3	52	248	63	32	120	144	59	1	185	189	2	9
113	172	125	62	33	166	69	54	73	46	114	149	113	2	28	78	1	79	166	1	266	263	104	1	31	409	137	103	153	448	33	63	14
136	2	2	60	59	95	233	278	0	16	1	98	100	1	5	48	0	66	0	0	0	223	0	1	105	51	53	6	2	0	325	1	0
97	1	0	56	40	38	179	19	1	88	0	62	181	164	2	37	228	18	243	353	0	113	194	566	113	22	169	121	0	272	39	0	9
291	1	0	83	159	34	24	64	5	45	0	200	35	171	0	102	7	112	0	80	1	19	3	126	67	55	84	2	0	0	100	0	1
369	0	1	167	68	105	203	75	0	3	0	30	54	0	0	34	0	81	108	1	3	21	344	0	59	86	25	128	1	414	8	1	8
87	0	170	122	32	261	136	175	0	101	47	56	70	689	0	27	23	108	668	133	114	89	104	338	4	101	221	47	103	244	35	1	11
83	1	0	25	60	16	294	48	0	99	0	75	202	1	1	167	1	68	110	0	0	112	173	1	83	154	137	603	0	693	240	0	8
169	0	0	134	47	168	35	144	0	77	0	181	31	0	1	45	0	137	64	2	3	76	320	1	259	239	49	386	0	242	89	0	8
80	1	0	75	59	107	39	128	0	61	1	96	60	275	1	81	58	131	181	67	1	26	354	350	112	62	155	122	4	173	23	0	9
284	0	54	152	13	401	25	145	0	70	242	221	154	206	0	59	332	35	55	66	881	39	707	241	144	11	103	50	178	302	38	3	11
53	0	172	5	54	182	171	156	1	222	716	169	68	68	0	159	208	66	38	316	68	63	232	134	79	26	49	182	104	175	69	0	11
54	0	221	60	31	8	37	111	1	49	121	36	81	0	1	7	0	162	316	0	159	70	88	0	139	66	212	100	241	170	42	2	10
125	0	6	62	70	117	61	85	0	7	90	170	104	0	0	72	3	6	230	1	639	177	81	2	67	137	121	109	252	66	63	0	10
151	16	1	18	52	104	8	208	142	1	0	84	29	709	169	160	321	49	118	33	0	84	324	91	105	82	33	58	0	31	64	107	13
26	311	0	39	63	169	12	58	214	119	0	134	111	0	405	60	4	46	4	1	1	352	0	2	110	77	40	1	0	3	146	441	4
83	209	51	7	32	25	72	54	45	111	105	239	43	64	63	80	266	25	1	293	45	29	1	3	137	73	16	2	87	1	151	134	7
118	1	1	291	18	90	239	36	4	54	1	47	55	6	2	105	0	42	22	0	1	83	91	2	21	83	143	254	1	317	113	1	8
297	3	107	113	15	140	88	177	1	10	264	176	213	1	0	178	3	261	363	0	112	27	17	0	35	133	45	362	27	100	44	0	10
159	0	2	101	169	248	65	152	2	4	1	16	25	180	1	317	325	251	289	201	0	65	307	59	320	54	66	138	4	237	81	0	9
69	78	113	112	60	112	112	23	513	6	201	36	97	2	8	48	3	52	240	0	172	119	169	0	10	42	16	173	77	189	91	179	14
199	1	325	187	42	107	173	45	2	17	180	204	53	52	0	41	86	168	390	109	320	21	502	395	37	69	166	285	79	44	72	0	11
91	2	107	239	73	22	88	27	0	106	145	48	113	4	2	190	2	126	2	2	294	19	2	0	103	139	153	0	368	2	51	2	2
104	0	302	33	53	28	38	82	2	101	566	173	115	7	1	38	1	160	3	1	70	150	0	2	34	136	119	0	93	1	60	0	2
23	3	123	92	263	21	210	42	0	60	404	25	97	0	2	166	2	369	132	1	35	85	281	4	86	93	52	31	72	254	31	0	10
100	124	1	75	56	80	51	98	116	15	1	183	120	1	53	57	2	52	241	0	0	104	315	0	273	33	94	162	0	47	163	103	12
147	0	2	58	55	173	88	98	3	13	0	18	26	0	1	35	2	8	4	0	0	17	0	0	125	186	120	2	3	0	31	0	0
196	591	1	45	40	54	115	167	41	100	0	30	169	416	552	113	95	47	0	131	0	73	0	335	162	87	33	1	0	1	79	36	5
17	1	257	165	62	100	73	128	0	37	76	89	87	2	3	143	1	121	94	0	340	4	122	0	205	55	7	472	114	509	168	1	10
38	138	98	42	181	37	112	26	85	37	239	253	89	0	192	69	3	18	217	0	234	172	290	0	260	247	42	7	34	453	37	588	14
136	202	225	138	158	94	65	187	61	208	78	57	65	172	41	33	90	112	365	77	257	146	185	214	75	189	212	476	205	128	100	114	15
6	1	39	22	43	32	98	87	2	89	359	67	33	0	0	83	0	92	0	6	254	13	0	4	231	68	182	0	38	2	172	0	2
96	0	300	127	75	209	167	70	3	72	326	55	1	0	1	64	0	84	71	0	190	117	58	1	121	45	52	290	220	409	175	0	10
251	137	1	57	66	18	144	44	170	164	3	36	63	0	104	28	0	91	209	1	1	179	124	2	156	51	16	123	0	111	1	89	12
88	1	3	176	100	50	52	17	1	70	1	31	80	0	1	175	0	138	1058	0	0	135	347	0	128	36	34	189	1	120	89	0	8
127	492	1	31	200	69	184	147	113	182	0	326	116	0	174	33	1	204	83	0	0	132	109	1	85	64	54	13	1	73	12	317	12
37	1	243	46	171	76	81	151	1	22	254	50	57	0	0	59	0	48	284	0	325	113	328	0	100	65	4	324	237	81	143	0	10
136	70	121	105	75	174	55	93	189	110	418	43	240	1	239	168	2	129	0	1	238	189	3	1	112	50	24	3	68	0	130	114	6
27	157	2	59	75	86	53	90	471	37	0	19	83	65	67	54	310	17	0	337	1	135	0	286	79	8	75	1	1	0	172	388	5
58	0	164	103	130	135	164	35	1	46	263	194	102	1	1	43	2	109	101	2	455	74	142	2	25	117	188	338	476	68	162	2	10
66	185	193	71	20	318	21	174	253	51	239	83	71	0	113	22	3	139	104	2	163	45	283	1	93	3	21	54	29	61	140	57	14
38	0	247	50	64	150	98	155	0	102	511	19	14	281	0	13	81	156	2	260	66	62	0	244	38	16	26	1	267	0	85	5	3
179	275	336	86	102	69	34	70	212	124	239	80	126	1	99	46	4	73	175	0	29	122	845	3	139	66	47	177	508	66	76	43	14
16	0	108	60	161	177	132	41	3	27	582	211	72	111	1	72	43	79	68	49	137	93	49	47	59	47	107	362	414	241	257	0	11
161	0	0	81	105	70	328	70	2	138	0	123	484	0	2	123	1	144	0	0	3	22	0	2	96	35	92	1	1	1	129	2	0
292	274	4	65	119	227	77	79	87	42	47	262	105	0	296	94	1	165	0	1	60	69	0	0	210	82	19	0	194	4	28	139	6
22	0	0	78	124	14	130	39	0	8	0	71	16	213	1	240	71	531	0	77	0	17	1	402	122	28	67	1	1	1	162	2	1
87	40	1	146	22	294	64	79	50	240	0	45	89	126	176	33	555	338	109	237	0	50	94	163	175	33	78	358	0	334	45	354	13
261	102	81	194	120	185	53	57	123	94	310	23	42	1	117	33	0	97	1	3	162	178	2	0	137	45	2	1	76	0	93	175	6
67	76	1	303	86	102	65	200	29	86	0	48	128	0	176	58	0	80	113	3	0	24	221	0	6	233	49	84	2	79	89	91	12
5	1	529	59	26	77	139	12	1	111	448	76	129	7	2	192	57	188	72	73	375	82	42	54	36	77	12	32	605	405	11	0	11
75	478	1	176	89	72	137	50	16	160	2	67	97	0	87	176	0	21	3	2	0	186	1	0	71	39	40	2	0	0	140	140	4
52	0	213	151	129	33	9	72	1	52	191	49	101	121	1	53	209	35	1	71	476	240	1	153	178	176	8	1	385	3	125	1	3
84	0	227	68	423	108	105	112	3	78	501	36	32	425	0	91	622	208	0	261	602	74	1	249	9	9	131	1	482	3	129	1	3
146	0	0	101	122	75	3	123	1	107	2	83	114	89	0	43	315	45	0	434	1	63	1	233	109	234	259	1	1	0	158	3	1
124	1	23	81	49	25	72	39	1	208	155	51	76	118	3	51	569	222	0	184	88	91	0	215	55	26	19	0	552	0	21	1	3
128	2	44	269	234	155	66	85	0	36	411	9	153	0	0	165	5	83	320	0	248	71	52	0	61	123	172	243	89	310	55	0	10
28	76	59	93	123	230	60	204	532	26	27	60	107	1	176	59	1	205	129	1	368	188	56	1	195	32	27	148	58	302	44	132	14
44	1	438	35	179	111	94	62	1	143	145	154	98	137	1	68	157	92	470	238	98	291	57	82	197	197	9	265	187	233	62	2	11
29	427	336	114	419	124	65	116	173	160	171	178	56	122	175	112	101	64	98	55	54	123	122	48	42	82	97	43	152	279	258	346	15
14	0	0	33	64	4	72	46	1	77	0	42	47	4	0	47	3	180	0	1	0	67	1	1	6	74	171	0	2	1	32	1	0
7	139	2	200	213	90	34	247	317	62	1	95	87	0	78	131	1	24	0	1	0	12	6	3	53	27	139	1	0	2	80	465	4
52	1	242	181	18	249	44	135	1	152	253	37	174	0	0	289	1	50	24	0	187	47	0	0	233	101	138	568	123	419	84	0	10
40	2	61	95	55	107	14	9	2	28	295	167	184	0	0	39	1	223	135	0	119	152	96	1	227	43	129	48	31	301	38	1	10
84	106	166	106	30	17	40	33	346	54	199	2	211	2	184	112	0	64	0	0	142	76	2	0	45	30	32	1	97	0	85	26	6
254	7	349	27	23	162	129	225	155	287	25	241	190	2	259	56	3	195	0	0	252	222	0	1	61	13	65	1	171	2	308	574	6
85	591	1	98	16	80	136	18	348	70	0	113	82	141	734	23	277	33	374	305	0	215	105	29	90	46	13	190	0	114	50	219	13
17	97	1	103	66	158	23	32	596	51	0	94	51	0	130	29	7	42	1	0	0	75	0	3	17	30	86	1	1	0	155	529	4
147	378	1	71	126	31	329	32	57	16	2	191	28	2	236	8	0	123	1	3	2	26	0	6	109	15	275	2	2	0	35	97	4
76	143	0	135	175	215	129	102	85	68	0	111	310	185	144	12	127	61	1	340	2	107	0	48	52	25	368	1	1	1	160	144	5
98	0	102	45	30	20	28	72	1	106	66	133	35	46	0	182	105	9	37	54	421	57	122	131	109	138	36	56	136	139	15	0	11
289	0	86	7	41	13	81	129	0	21	443	212	24	261	1	36	60	159	269	332	241	61	90	493	141	19	87	288	67	94	56	0	11
27	4	71	62	128	88	62	114	0	110	234	255	58	137	0	113	130	40	4	441	353	65	6	116	45	181	25	2	40	3	80	1	3
180	76	107	67	146	147	11	89	281	211	249	25	440	2	258	169	0	45	2	2	143	137	1	0	75	89	130	2	240	1	141	45	6
189	0	2	79	195	248	73	39	0	98	0	13	120	2	1	67	1	19	2	2	0	301	0	3	79	128	0	0	3	5	430	3	0
26	313	5	249	37	19	44	91	114	8	0	71	119	2	198	124	0	44	0	0	0	53	0	0	51	69	47	1	2	3	30	401	4
12	424	73	153	203	132	93	43	254	38	227	31	61	2	35	34	0	60	212	1	468	92	793	0	88	73	178	88	17	238	351	231	14
121	0	1	39	63	95	51	117	1	281	1	82	357	3	0	78	0	58	3	1	0	164	2	0	45	60	33	0	0	3	18	0	0
161	3	0	166	221	221	46	104	3	124	0	157	53	478	0	136	222	51	142	440	1	58	62	467	68	68	14	367	2	197	22	2	9
231	52	134	72	25	151	98	302	193	223	455	73	162	0	39	103	0	1	0	0	137	94	1	2	153	88	150	1	42	4	72	72	6
43	183	1	211	163	136	121	78	190	39	0	52	6	581	446	123	57	179	593	39	0	21	347	258	88	55	26	139	1	38	228	200	13
72	223	0	167	151	11	52	75	268	99	0	34	232	1	197	49	0	146	0	4	0	29	0	0	49	63	55	0	0	1	370	230	4
235	24	223	34	31	109	47	96	10	141	295	371	34	2	224	71	4	238	246	1	478	79	40	1	207	38	97	19	387	88	79	230	14
42	1	76	122	12	183	57	15	1	64	137	174	151	2	0	138	2	134	170	5	161	92	588	1	19	65	39	114	374	352	92	3	10
49	0	2	106	18	72	250	82	0	75	0	29	84	1	1	3	3	42	0	0	1	217	0	2	89	55	37	0	1	0	181	0	0
135	2	124	287	82	108	28	135	0	50	223	88	48	1	0	54	0	207	36	0	43	103	85	0	98	250	54	9	161	149	41	1	10
108	1	0	203	67	79	183	164	3	101	1	116	23	1	0	46	1	55	238	1	3	135	472	0	96	39	40	112	4	123	71	1	8
141	0	137	37	139	45	153	107	0	100	629	174	130	1	0	100	0	11	79	1	347	19	42	1	104	144	126	45	118	338	56	0	10
136	0	191	57	104	52	12	130	2	78	259	51	50	1	0	255	1	47	36	0	212	184	49	0	11	129	293	126	352	424	86	1	10
174	93	0	136	29	133	76	99	108	118	2	241	10	192	494	18	78	31	174	193	0	64	130	256	200	161	58	194	2	108	34	123	13
126	222	1	34	133	69	62	100	71	120	0	37	66	0	15	168	1	20	611	0	0	215	248	1	138	37	96	547	0	173	35	114	12
52	116	0	235	40	25	84	76	74	61	2	107	357	0	92	123	0	99	88	0	0	113	470	1	154	115	14	24	1	76	29	49	12
71	148	218	160	114	167	35	57	16	121	91	18	39	1	127	117	0	97	434	0	325	256	376	1	77	198	102	627	18	132	77	75	14
136	2	2	72	98	173	64	219	1	272	0	12	28	76	2	1	122	138	129	227	1	30	398	318	233	140	25	147	2	43	44	4	9
3	538	1	49	37	98	150	12	313	192	2	92	19	148	57	138	93	164	391	89	0	127	625	173	5	54	137	158	0	623	161	139	13
29	0	4	34	150	123	174	178	1	23	4	108	33	0	2	97	0	69	1	1	1	103	0	0	37	274	170	1	1	0	88	0	0
168	0	65	3	38	161	126	172	0	109	38	197	135	400	1	105	98	44	546	73	315	85	33	179	22	138	73	268	163	169	61	2	11
42	206	0	48	12	60	285	210	116	60	0	21	88	0	141	80	0	79	105	3	2	31	178	2	88	50	116	257	0	648	21	149	12
50	220	3	97	60	21	48	139	26	74	4	20	122	3	117	13	0	59	21	0	0	112	76	0	131	27	41	57	3	125	134	224	12
346	46	3	79	40	196	246	223	131	39	2	148	105	133	136	150	59	52	2	444	0	30	0	163	70	75	50	0	1	6	217	223	5
234	0	481	44	300	175	123	111	0	221	241	103	26	101	0	16	231	170	0	375	59	58	1	26	60	5	63	2	71	0	42	3	3
56	4	1	21	4	16	122	40	2	34	1	63	137	3	0	69	2	6	138	0	1	142	247	0	15	78	152	45	0	282	1	0	8
129	145	3	120	124	120	0	106	170	58	1	3	33	2	347	203	3	159	408	1	0	27	70	0	144	190	53	172	0	54	18	166	12
90	2	93	5	485	115	27	209	0	59	184	172	59	2	1	64	0	95	132	0	24	196	125	1	171	40	236	79	557	44	170	1	10
56	2	1	192	95	79	147	154	1	15	3	43	154	2	1	124	3	68	1	2	2	220	0	2	43	63	73	2	0	0	58	2	0
13	1	33	68	138	25	76	103	0	3	513	93	95	283	2	90	59	38	2	319	225	215	1	616	66	0	135	0	215	2	57	1	3
112	243	2	148	228	43	256	108	179	56	1	10	36	74	508	118	233	58	3	223	0	27	0	64	128	13	7	1	0	1	67	387	5
109	191	177	89	113	158	238	62	156	67	93	8	122	0	125	263	1	27	0	1	38	202	1	1	133	90	5	0	71	1	279	115	6
104	111	1	57	93	144	99	15	75	20	1	6	30	309	332	99	212	125	2	119	1	82	2	2	32	30	103	0	0	0	252	55	5
10	48	2	145	75	8	41	192	68	167	1	166	46	199	333	109	372	64	270	48	1	158	157	227	47	99	7	241	0	196	701	508	13
60	3	319	4	75	41	117	117	1	229	138	57	213	124	1	61	710	42	0	75	76	69	2	45	102	36	40	0	95	3	26	0	3
40	0	171	20	140	97	166	195	2	244	184	24	28	1	0	82	2	66	0	0	414	98	0	0	76	57	194	1	110	0	112	0	2
113	2	289	151	202	38	103	42	0	28	70	86	77	2	0	129	1	46	70	2	304	16	35	1	280	78	337	64	416	144	64	1	10
76	193	0	106	139	101	149	58	338	86	0	143	16	0	472	15	1	134	241	0	5	54	80	2	27	15	9	283	1	52	133	319	12
370	181	58	107	88	72	24	96	686	104	343	83	93	3	133	23	3	98	291	2	213	89	218	0	105	41	97	231	8	102	90	168	14
235	1	73	36	211	69	49	53	3	102	602	26	218	1	0	63	1	110	44	1	40	145	285	1	51	31	121	447	44	52	142	0	10
31	120	186	99	123	92	23	154	95	46	642	117	17	0	204	248	1	19	1	1	70	107	0	1	78	126	346	0	77	0	56	181	6
76	1	141	17	25	54	165	25	0	268	132	56	42	249	1	51	27	6	0	355	21	161	0	347	18	58	118	0	69	7	72	0	3
25	2	1	133	148	147	85	172	0	158	1	35	18	3	0	50	1	50	2	0	2	98	1	0	439	117	207	1	1	0	97	0	0
86	19	0	19	128	123	11	77	90	192	1	236	21	1	212	9	1	55	2	1	2	93	0	0	113	73	40	2	2	3	210	46	4
158	338	281	107	41	75	106	47	82	173	65	19	156	323	157	85	195	125	243	445	64	238	131	252	101	121	290	33	127	178	51	79	15
104	43	46	247	6	82	380	119	629	10	173	138	25	0	64	34	0	119	0	1	46	159	0	1	109	84	110	0	248	1	337	75	6
150	2	2	33	101	136	407	143	1	260	3	15	55	692	0	88	188	57	39	229	4	73	130	239	190	596	21	1176	4	78	45	0	9
20	311	2	21	275	85	138	94	460	94	1	317	100	61	105	70	141	44	0	54	0	219	2	62	212	276	46	0	3	1	192	276	5
71	0	646	167	61	220	65	173	0	72	184	40	60	242	3	39	22	92	153	118	54	109	111	272	502	53	172	39	218	121	80	1	11
