#gene	sample1	sample2	sample3	sample4	sample5	sample6
RNF14	6224	6831	5986	3421	6503	4712
GNPDA1	277	313	293	147	373	414
NDFIP1	2580	1704	2497	1081	3001	1045
SPRY4	11572	13141	5010	10568	13394	4247
FGF1	151	304	119	181	159	125
ARHGAP26	228	329	319	99	214	174
NR3C1	1855	3082	949	2674	2743	1477
HMHB1	949	281	887	567	386	635
YIPF5	76	21	40	62	24	63
KCTD16	1257	824	1195	1991	1063	396
PRELID2	14358	9182	13394	9303	10979	5187
GRXCR2	13077	8627	21166	10449	5105	14626
SH3RF2	566	374	574	329	562	506
PLAC8L1	914	715	1176	1004	1262	979
LARS	2050	1220	1223	1159	1562	1855
RP11-449H3.3	3301	2793	2345	1572	1316	2959
RBM27	1304	1261	1200	1033	1214	516
POU4F3	141	142	196	184	53	73
TCERG1	569	1253	1420	413	875	1035
GPR151	1742	2368	1889	1692	1744	1440
PPP2R2B	5338	2999	3287	5019	3592	6548
STK32A	1261	709	1599	831	544	836
DPYSL3	1081	964	2186	1804	1102	1275
JAKMIP2	110	168	147	47	42	59
SPINK1	5891	4573	2848	1782	3094	4393
SCGB3A2	1145	1131	2779	822	2029	385
C5orf46	4930	3667	8650	3406	3912	4363
SPINK5	357	658	627	356	341	342
SPINK14	2090	2195	1947	2443	1205	2494
SPINK6	8675	11642	8316	2305	10618	7441
CTC-295J13.3	416	598	237	289	399	155
SPINK13	6301	5995	4612	4942	7736	3142
SPINK7	536	283	530	272	275	291
SPINK9	6550	4788	4806	7223	4797	5127
FBXO38	6202	3589	4037	3475	2967	3637
HTR4	47	26	13	10	18	36
ADRB2	408	818	787	328	538	362
SH3TC2	770	1072	1113	1131	948	533
ABLIM3	763	1848	1572	824	998	928
AFAP1L1	1408	2677	2612	1579	1781	1135
GRPEL2	1356	3342	2784	2938	2330	1600
PCYOX1L	937	1255	1474	1011	304	577
IL17B	3997	1742	5362	1452	4423	2063
CSNK1A1	11912	5510	3977	2174	4194	5659
ARHGEF37	771	1281	729	659	679	443
PPARGC1B	2749	3313	3928	4756	4004	2515
PDE6A	2263	1342	3336	1440	991	1883
SLC26A2	270	220	301	186	283	76
TIGD6	514	482	303	301	227	696
HMGXB3	297	295	352	188	300	235
CSF1R	2397	4842	6953	2920	1816	4262
PDGFRB	384	914	697	492	756	289
CDX1	1460	3395	2065	3766	4024	3577
SLC6A7	4384	2714	1926	1729	1361	1955
CAMK2A	459	826	638	457	397	294
ARSI	3036	3241	2786	1880	1862	2885
TCOF1	380	610	768	525	721	358
CD74	2490	4018	5625	3131	2894	2093
RPS14	71	93	36	21	35	90
NDST1	15488	8937	11653	8375	4500	17562
SYNPO	815	2214	3264	1010	2691	1759
MYOZ3	1646	1478	1441	589	1148	909
RBM22	4516	1960	3009	3090	2632	4029
DCTN4	233	330	398	238	271	328
SMIM3	1514	1169	1471	718	1439	554
IRGM	780	691	815	966	673	620
ZNF300	799	1850	2606	608	1094	563
AC008641.1	700	1017	1740	1190	1300	374
GPX3	847	1458	1255	1532	1421	1417
TNIP1	1077	1363	2717	536	988	858
ANXA6	4007	1722	2062	1959	3788	1714
CCDC69	5563	3886	4134	5993	2916	2323
GM2A	7887	4897	10872	9059	4105	4721
SLC36A3	3703	2705	4087	2499	2779	2133
SLC36A2	13154	13368	6231	9039	9560	10002
SLC36A1	229	133	144	106	99	69
FAT2	507	1042	1085	1075	774	1070
SPARC	64	57	100	89	97	130
ATOX1	172	161	178	126	134	95
G3BP1	3375	6123	8028	3192	3214	4178
GLRA1	1927	2720	3210	2280	1641	3046
NMUR2	769	4899	5494	1959	1829	2030
GRIA1	8601	4412	5167	5479	4970	4696
FAM114A2	428	368	944	392	416	203
MFAP3	985	1189	957	539	343	1108
GALNT10	6213	4032	6936	6426	3523	6898
SAP30L	442	411	350	338	893	562
HAND1	3868	5364	3487	3279	3817	2984
LARP1	979	4267	3050	894	648	2263
FAXDC2	4409	6258	5515	6390	4215	5757
CNOT8	8077	8151	7716	5363	6503	4704
GEMIN5	7154	7368	8641	3900	2542	6064
MRPL22	1987	925	1125	3240	952	2307
KIF4B	540	1085	381	407	467	315
SGCD	22311	11307	23943	12483	18694	20913
AC016577.1	6852	4341	3866	4830	2988	2466
PPP1R2P3	3594	3388	5432	5161	6335	6455
TIMD4	85	104	125	92	87	196
HAVCR1	8137	3439	3570	3003	2646	1898
HAVCR2	4490	5867	3516	8529	3811	7352
MED7	3517	1713	5410	2128	1051	1121
ITK	699	948	753	437	411	437
FAM71B	1316	1842	1548	893	657	1403
CYFIP2	4363	9687	3774	3360	4962	9362
FNDC9	642	1213	2695	1256	872	1630
ADAM19	1273	2105	1986	2206	2168	907
NIPAL4	3151	2968	3378	3134	1724	1024
SOX30	2161	1731	3387	1323	1520	1768
C5orf52	327	374	419	186	338	147
THG1L	507	413	1082	120	415	636
LSM11	3403	1550	2481	2337	1484	2140
CLINT1	1415	2131	2981	1112	4088	1138
EBF1	2145	2819	4475	1400	2785	1031
RNF145	1257	1461	2696	933	970	1567
UBLCP1	185	373	607	508	169	144
IL12B	928	1436	2072	716	912	776
ADRA1B	8226	2573	1231	3674	5345	2820
TTC1	4012	2395	1405	1394	1224	1647
PWWP2A	1632	917	2162	2513	1018	2444
FABP6	4470	1908	2077	1522	7427	3718
CCNJL	6031	7404	7149	2613	6591	3239
C1QTNF2	10552	5866	17249	6576	17403	9232
ZBED8	276	250	280	197	115	113
SLU7	383	242	74	141	131	130
PTTG1	8246	14316	5433	3978	2838	3069
ATP10B	1251	2835	1733	161	980	1546
GABRB2	15078	26657	7364	12728	21289	17600
GABRA6	380	348	248	149	240	515
GABRA1	314	507	406	99	193	266
GABRG2	1702	1705	1983	2769	3847	909
CCNG1	4497	1258	4125	2456	1417	2578
NUDCD2	1200	646	2484	1579	2039	1191
HMMR	1654	1634	1598	732	699	1075
MAT2B	322	351	153	207	164	125
TENM2	583	692	776	771	344	121
WWC1	13208	7194	8399	4363	2405	6298
RARS	12256	8475	15873	10697	7314	10846
FBLL1	832	470	881	407	604	546
PANK3	40	56	170	64	60	52
SLIT3	5078	2700	1906	2232	3269	2209
SPDL1	7898	4801	4896	3645	4120	2644
DOCK2	3554	2381	2787	581	924	1448
FAM196B	9726	5887	4195	10111	3279	5789
FOXI1	468	1103	600	368	592	492
C5orf58	195	98	463	189	184	178
LCP2	1146	1635	861	1090	976	806
KCNIP1	2010	2198	4758	1119	522	2576
KCNMB1	7704	8059	15739	8782	9792	4610
GABRP	3031	1085	7742	2633	2706	2125
RANBP17	1047	1002	1128	1326	2169	1661
RP11-546B8.6	1147	2605	1622	1091	755	1620
TLX3	237	239	163	201	166	152
NPM1	2898	2099	1650	1269	2045	1290
FGF18	2268	2519	1689	1855	1829	710
SMIM23	118	61	76	73	51	129
FBXW11	517	1114	996	361	650	486
STK10	3858	3223	3525	2863	2105	2014
EFCAB9	2122	4578	3488	1310	1438	2812
UBTD2	7240	6534	7873	9131	4975	6900
SH3PXD2B	1548	2100	862	590	428	1320
NEURL1B	4591	5965	4229	6999	10312	3389
DUSP1	2677	2873	6167	3146	3847	2947
ERGIC1	6739	3286	3680	3734	1096	2758
RPL26L1	3744	3933	6718	3184	2032	4229
ATP6V0E1	1058	840	1314	1071	1192	549
CREBRF	2391	2070	1575	2941	3499	1783
BNIP1	556	881	1106	857	616	314
NKX2-5	1635	1249	904	750	927	697
STC2	1056	2852	4544	1023	2541	2157
BOD1	2596	2243	1683	1121	2025	3416
CPEB4	2604	4526	2559	2574	3503	1966
C5orf47	1395	1058	1036	1058	855	1041
HMP19	3919	4693	3059	2994	3845	2961
MSX2	3970	2379	9365	5038	2631	3222
DRD1	921	1501	2954	2779	2079	3684
SFXN1	2632	2080	1021	1563	1779	1629
HRH2	221	208	393	189	249	252
CPLX2	9000	15980	5975	8815	5137	5212
THOC3	715	1246	504	718	842	525
FAM153B	226	161	247	146	190	301
SIMC1	1893	3949	4222	2405	4394	3465
KIAA1191	1160	2321	1583	1199	883	1149
ARL10	7505	6094	10458	9084	6634	6713
NOP16	3128	4843	6614	10212	7755	9228
HIGD2A	3233	2635	1406	910	1820	1905
CLTB	1786	2354	1286	2386	2163	589
FAF2	760	1106	550	636	1126	776
RNF44	8502	3995	4134	5997	3163	6682
CDHR2	1906	2960	2037	1521	1791	1452
GPRIN1	2815	3699	4503	5154	5407	4405
SNCB	5860	8919	9907	6821	4927	3177
EIF4E1B	360	505	408	259	447	377
TSPAN17	20	53	63	25	10	28
UNC5A	2437	523	3493	694	1841	938
HK3	2306	2783	3784	1323	1352	3225
UIMC1	1393	917	2382	1022	2305	775
ZNF346	1617	1773	2428	1934	1292	672
FGFR4	1585	1644	2361	1783	2369	954
NSD1	1519	1643	1250	934	1917	889
RAB24	4720	3106	5524	3481	1631	2699
MXD3	3994	4648	4346	1727	2433	2164
PRELID1	360	158	204	152	104	219
LMAN2	1770	1084	1267	657	903	1358
RGS14	4490	4028	2947	1547	2932	3543
SLC34A1	1568	2307	5174	2312	3075	1403
PFN3	10	38	24	30	8	16
F12	3021	4454	4471	1582	2270	1103
GRK6	1138	1213	1069	578	489	559
PRR7	165	130	100	57	38	48
DBN1	1223	1177	2023	1698	1211	985
PDLIM7	322	475	567	523	186	997
DOK3	1418	1801	1674	1579	1674	805
DDX41	2510	7058	2858	1971	2135	908
FAM193B	581	593	386	448	239	158
TMED9	556	1448	1569	1248	1214	497
B4GALT7	3412	2507	1668	2278	1776	1850
FAM153A	6181	5137	3597	3173	4237	2427
PROP1	1394	2347	2561	1054	1076	980
FAM153C	2043	4273	2109	1975	2704	2865
N4BP3	7575	3490	2896	5889	3143	5900
RMND5B	721	1602	1091	707	611	1652
NHP2	4843	4167	1894	951	1395	1612
HNRNPAB	435	371	300	318	241	160
PHYKPL	2165	2017	2317	1357	2578	926
COL23A1	597	980	972	1059	702	719
CLK4	3740	4078	4350	3139	2600	1385
ZNF354A	578	334	826	201	538	208
ZNF354B	4659	9217	8146	7097	2910	6922
ZFP2	3149	6278	7996	6861	5492	4066
ZNF454	242	210	169	109	91	203
GRM6	773	1098	660	673	666	838
ZNF879	946	3830	6311	3332	3623	4022
ZNF354C	7539	8646	7855	5147	9589	11787
ADAMTS2	2358	2487	2264	1242	887	2053
RUFY1	403	1108	947	459	327	943
HNRNPH1	321	93	408	118	354	245
CBY3	138	109	109	46	117	73
CANX	3160	3077	2464	2081	1854	2713
MAML1	9327	12508	6328	5379	10558	5815
LTC4S	781	545	372	570	471	565
MGAT4B	514	335	877	977	746	849
SQSTM1	1397	1553	738	1637	1539	1042
C5orf45	5413	3553	4470	5332	5226	5062
TBC1D9B	116	142	127	250	264	158
RNF130	5394	6286	6604	3201	4218	3538
RASGEF1C	755	865	532	796	1148	941
MAPK9	7692	5842	8058	5272	3066	3864
GFPT2	595	375	487	414	205	642
CNOT6	1230	2576	1670	1539	452	602
SCGB3A1	345	814	217	204	318	277
FLT4	4942	5773	5862	4912	3421	3117
OR2Y1	399	185	289	132	302	175
MGAT1	3409	1628	4084	1365	1493	1938
ZFP62	3928	9284	2389	3700	9405	3457
BTNL8	630	680	398	558	622	661
BTNL3	4106	7290	3623	4942	3884	6895
BTNL9	5034	3307	2002	6881	6291	4539
OR2V1	6159	4461	4738	4049	2592	4680
OR2V2	704	1537	1040	1354	1298	574
TRIM7	1806	1637	1271	2315	916	2388
TRIM41	313	160	359	211	122	353
RACK1	185	74	127	52	146	99
TRIM52	289	192	207	204	225	299
OR4F3	232	311	253	43	198	271
DUSP22	832	465	258	339	320	376
IRF4	1681	3493	3290	1455	2311	2041
EXOC2	136	93	127	74	75	119
HUS1B	7445	4616	7837	3055	2961	7522
FOXQ1	1730	1411	733	1495	1071	1031
FOXF2	3819	4109	3645	4131	1473	790
FOXC1	12401	9384	8367	5748	5325	7653
GMDS	717	380	881	411	189	432
MYLK4	448	355	480	221	359	439
WRNIP1	9094	12040	9631	6326	6554	14523
SERPINB1	609	394	538	203	101	219
SERPINB9	2302	2588	1821	2566	2104	891
SERPINB6	3741	7992	7579	10359	6625	3785
NQO2	2052	3053	3293	1760	690	903
RIPK1	1547	2028	1900	3024	1356	706
BPHL	4338	2599	2175	1110	3599	2776
TUBB2A	22622	15159	12450	12865	9523	11131
TUBB2B	3389	1195	2403	1439	991	1113
PSMG4	1622	3294	736	1799	1605	1117
SLC22A23	7047	8087	13206	6103	3591	7249
PXDC1	1890	1442	2649	910	3064	2402
FAM50B	6545	14055	4819	8039	8591	13368
PRPF4B	1812	1114	1728	1034	883	1115
FAM217A	9849	1655	7689	5522	6502	8871
C6orf201	3824	5256	5250	4308	3261	3265
ECI2	8948	6462	19680	7216	6618	15629
CDYL	199	258	231	311	415	191
RPP40	8178	3974	6778	2929	9811	8560
PPP1R3G	2504	1104	1936	1483	1755	3167
LYRM4	801	1282	894	1443	553	1306
FARS2	1088	2113	410	429	896	1015
NRN1	4752	3923	3632	5725	2915	3583
F13A1	1407	1388	1733	437	3251	745
LY86	355	899	663	748	937	1219
RREB1	3605	4221	6143	3308	4364	4219
SSR1	3234	2790	2892	3184	2635	4135
CAGE1	4158	5015	7052	5500	5520	6013
RIOK1	1847	493	644	1284	991	1058
DSP	2165	2606	3327	524	2075	4260
SNRNP48	127	300	130	71	164	311
BMP6	6875	4829	1903	1831	2143	2793
TXNDC5	651	1038	902	1354	847	1049
BLOC1S5-TXNDC5	249	104	255	112	118	147
BLOC1S5	691	1671	995	1741	1917	846
EEF1E1-BLOC1S5	2365	1019	1484	1051	1354	937
EEF1E1	4064	3842	2926	5702	2465	1682
SLC35B3	6186	6136	3846	4347	6224	3737
OFCC1	1807	3044	3870	2174	2862	3395
TFAP2A	2248	2847	1209	757	3220	2750
GCNT2	1912	3513	2301	767	3775	2077
C6orf52	2099	852	1044	1485	713	1232
PAK1IP1	132	219	181	155	194	170
TMEM14C	1345	649	1749	1444	917	455
TMEM14B	1523	1670	1340	2014	881	656
RP11-637O19.3	6466	10105	3941	3396	7113	6207
MAK	1991	3904	2349	2679	727	2044
GCM2	3107	467	1641	1272	1873	1463
SYCP2L	405	1077	1154	1151	997	1215
ELOVL2	460	727	471	772	378	524
SMIM13	369	276	496	287	317	538
ERVFRD-1	1138	1549	1316	984	2370	696
NEDD9	320	745	855	244	730	644
TMEM170B	499	295	588	406	165	418
ADTRP	1969	1842	1991	715	846	1786
HIVEP1	10274	6236	6153	8778	10359	5903
EDN1	33	99	65	61	149	71
PHACTR1	4144	4160	7508	3405	2594	1718
TBC1D7	6720	6358	3766	10605	7051	7058
GFOD1	123	115	85	133	188	169
SIRT5	2695	3039	3181	2913	1895	2220
NOL7	3293	2283	2997	2199	3004	1292
RANBP9	867	1303	722	2600	764	706
MCUR1	3862	4928	2586	3728	1824	2680
RNF182	771	660	424	446	540	315
CD83	2113	872	1051	1460	1746	1084
JARID2	665	1827	1178	934	1125	718
DTNBP1	214	263	359	127	180	281
MYLIP	125	300	312	380	192	179
GMPR	905	1565	916	1264	2070	1141
ATXN1	380	333	228	447	494	366
STMND1	3400	958	3699	2483	2164	1162
RBM24	6550	11699	8694	8487	7903	9188
CAP2	1295	737	605	626	1098	432
FAM8A1	7468	16380	10128	10003	1983	7598
NUP153	13953	31009	18125	23454	6962	23218
KIF13A	4958	5021	6551	6529	6983	8703
NHLRC1	1069	1829	2135	332	1025	1111
TPMT	1569	1790	1584	1423	481	2478
KDM1B	1894	1482	674	1013	1297	1695
DEK	3502	5647	3477	3456	1964	4258
RNF144B	1924	1627	2643	2919	1583	2219
ID4	2980	3532	2783	1793	2640	1160
MBOAT1	49	53	57	13	49	54
E2F3	6046	3980	5967	6788	7580	5891
CDKAL1	2084	2672	3109	2857	1786	2459
SOX4	3623	6292	6340	4503	7205	1320
PRL	71	162	91	70	146	62
HDGFL1	1618	2929	2477	2049	786	1474
NRSN1	3435	4101	2934	3925	2692	2703
DCDC2	364	351	333	183	109	270
KAAG1	1545	906	2523	493	888	970
MRS2	2135	3401	3332	2097	3164	2280
GPLD1	1250	1457	2493	729	2098	4282
ALDH5A1	4305	3760	2799	4867	2688	2852
KIAA0319	448	495	550	153	299	446
TDP2	1009	1307	1123	615	660	492
ACOT13	16516	9074	6889	8372	9635	5040
C6orf62	938	1622	1412	471	659	2060
GMNN	3153	2870	1312	2041	2073	2818
C6orf229	5985	7214	7448	2953	3677	4401
RP3-369A17.6	7969	5305	5816	3543	4240	2793
FAM65B	211	277	431	225	623	365
AL078584.1	2330	2655	4730	3027	2442	2603
LRRC16A	4725	7768	10997	3639	7823	9750
SCGN	333	525	101	192	453	479
HIST1H2AA	242	518	444	286	361	321
HIST1H2BA	1657	1018	1183	428	808	1419
SLC17A4	505	669	601	385	710	872
SLC17A1	10420	13183	18315	17058	4304	13593
SLC17A3	459	269	870	399	158	482
SLC17A2	1201	894	710	722	273	229
TRIM38	56	87	92	71	70	38
HIST1H1A	1953	4652	4491	3141	2428	4929
HIST1H3A	5529	3536	6736	2220	4792	5242
HIST1H4A	3571	1574	5025	1837	2284	2007
HIST1H4B	2417	989	2430	2226	946	1035
HIST1H3B	843	831	909	815	1221	601
HIST1H2AB	3502	2634	3457	2425	1542	1772
HIST1H2BB	77	33	73	43	19	19
HIST1H3C	106	271	136	132	154	44
HIST1H1C	3043	2782	2111	4533	793	1450
HFE	4179	2595	2213	2420	4913	2385
HIST1H4C	662	442	383	501	343	553
HIST1H1T	376	734	420	239	441	145
HIST1H2BC	356	1192	1183	413	741	1244
HIST1H2AC	2370	1196	1142	3843	1172	919
HIST1H1E	3196	3797	1948	1323	2555	2851
HIST1H2BD	3306	2000	1494	2151	1016	2386
HIST1H2BE	1933	1906	1826	1690	1321	392
HIST1H4D	2760	2260	1077	1221	874	888
RP1-34B20.21	960	1250	2569	1945	2847	909
HIST1H3D	366	210	106	126	182	137
HIST1H2AD	2498	807	1876	1916	1447	685
HIST1H2BF	2624	5978	7867	2612	9418	3874
HIST1H4E	4297	12315	3614	6767	4707	4918
HIST1H2BG	638	437	1249	452	350	789
HIST1H2AE	1358	723	2029	1417	723	1991
HIST1H3E	6357	4221	3729	1662	1590	2372
HIST1H1D	9601	5519	6002	4865	7828	5931
HIST1H4F	4719	3380	3179	4635	3915	2257
HIST1H4G	887	1764	1083	1150	1601	1687
HIST1H3F	3475	4619	5605	2262	3540	1507
HIST1H2BH	1401	1214	1092	1257	1086	592
HIST1H3G	3101	571	1810	2253	1641	1072
HIST1H2BI	552	925	732	671	444	189
HIST1H4H	286	158	126	75	86	146
BTN3A2	4759	10589	4994	7841	4854	4827
BTN2A2	1556	998	1352	1976	1834	1799
BTN3A1	1104	1281	1387	1228	2088	974
BTN3A3	2377	3970	3374	2890	1950	2372
BTN2A1	2508	3325	1876	3896	822	3203
BTN1A1	1438	1539	3279	1936	738	2332
HMGN4	620	901	746	943	639	386
ABT1	1625	1910	1924	1554	1295	614
ZNF322	1551	983	1119	1627	613	975
HIST1H2BJ	3897	3512	3572	1116	3080	1105
HIST1H2AG	204	59	182	148	129	42
HIST1H4I	2685	323	2047	1432	2249	2065
HIST1H2BK	8148	7394	5492	3639	3930	6527
HIST1H2AH	3490	2439	1397	1391	2767	1880
PRSS16	121	56	100	97	200	108
POM121L2	559	532	457	350	111	259
ZNF391	272	296	296	298	403	303
ZNF184	79	126	93	36	96	107
HIST1H2BL	5994	3511	2420	4119	2703	2409
HIST1H2AI	3968	2676	1616	1708	2849	2076
HIST1H3H	1540	1023	1382	705	1337	1162
HIST1H2AJ	7023	9553	7177	5509	5463	6268
HIST1H2BM	3625	1894	2113	1712	2203	3268
HIST1H4J	2664	2383	565	1269	2140	1214
HIST1H4K	520	559	611	1129	1146	627
HIST1H2BN	11434	6897	7606	3967	5624	8125
HIST1H2AK	3576	5400	1901	3122	1365	2359
HIST1H2AL	606	786	509	980	843	596
HIST1H1B	1671	1131	1607	619	688	1222
HIST1H3I	1252	342	1132	498	451	369
HIST1H4L	1871	1553	1400	1002	1446	1469
HIST1H3J	744	623	852	402	580	682
HIST1H2AM	2192	2003	3293	996	2052	1991
HIST1H2BO	1647	2520	2072	3916	1878	1392
OR2B2	1510	2058	3054	1765	2708	1906
OR2B6	244	246	333	322	298	216
ZNF165	1394	1653	3304	3804	1467	2574
ZSCAN16	3869	2985	1778	1759	3176	2326
ZKSCAN8	1139	2394	2577	1514	455	1895
ZSCAN9	3142	2793	5761	7037	4111	2528
ZKSCAN4	2541	2939	2974	371	1341	1271
NKAPL	7949	7301	8376	6843	11572	9880
ZSCAN26	5533	9630	8353	10579	3572	6125
RP5-874C20.8	3276	5317	3308	2523	2887	2069
PGBD1	1424	1941	2863	2315	1172	1443
ZSCAN31	1383	1861	1643	1376	1299	2165
ZKSCAN3	2494	2515	3170	3156	2133	3202
ZSCAN12	1963	1933	1666	1062	1182	1725
ZSCAN23	172	298	247	87	141	131
GPX6	24781	9800	5506	3731	12512	13227
GPX5	3871	5874	5003	6013	5503	2760
ZBED9	2642	12502	11606	13642	15825	13742
TRIM27	8202	7333	9610	3032	2391	2823
ZNF311	1259	1341	842	865	765	636
OR2W1	6507	10489	4309	7386	2912	3936
OR2B3	912	1753	2053	1530	1032	777
OR2J3	5524	2533	1583	3484	3461	3432
OR2J2	4585	5835	4400	4261	1938	3054
OR14J1	778	1325	1963	1260	461	666
OR5V1	370	746	143	366	228	305
OR12D3	1552	3758	3741	2948	2953	6321
OR11A1	2082	2926	1609	1534	2069	1175
OR10C1	6678	3633	2642	2829	2653	5465
OR2H1	2490	2931	3729	1969	902	3387
MAS1L	5147	2565	3181	3822	2598	1718
UBD	4226	2491	5197	4386	4733	2629
GABBR1	2562	2767	2276	1535	1237	3679
OR2H2	1360	5478	1885	3364	2621	2142
MOG	2219	2001	2293	2532	680	654
ZFP57	2598	3259	3097	2165	4233	3652
HLA-F	9995	14897	8255	7200	6117	2774
HLA-G	744	2583	927	519	711	1100
HLA-A	145	98	133	124	243	58
ZNRD1	3327	5246	3557	3735	5448	5511
PPP1R11	13617	3155	5893	9526	2869	7051
RNF39	1303	455	1318	319	522	622
TRIM31	6153	6382	3042	2616	2935	3547
TRIM40	3437	7232	2647	4010	1699	3300
TRIM10	1801	3895	2133	1113	2597	3415
TRIM15	1794	1653	1048	927	982	1839
TRIM26	704	1392	1063	526	1275	853
TRIM39	1300	1679	1629	2115	973	1021
TRIM39-RPP21	317	263	127	232	173	171
RPP21	2328	4002	1992	9048	3411	3389
HLA-E	3659	7979	5892	9357	5262	2712
GNL1	12599	3612	4690	4394	5571	3457
PRR3	2869	1665	5333	800	2531	3329
ABCF1	1063	1325	1565	1284	874	855
PPP1R10	953	870	961	956	998	867
MRPS18B	44	56	45	14	19	78
ATAT1	803	529	408	389	761	311
C6orf136	1066	1085	1068	929	914	993
DHX16	2940	1495	1074	2583	2767	3192
PPP1R18	1091	1107	1811	1850	664	666
NRM	1069	4276	5442	2669	3285	2318
MDC1	5563	4957	3066	4841	5855	8409
TUBB	377	336	289	93	239	239
FLOT1	1507	2093	1353	2418	2041	1998
IER3	2535	2434	4085	1503	2457	3946
DDR1	486	327	647	297	258	347
GTF2H4	289	587	558	334	147	320
VARS2	2167	1871	1921	1241	1897	1090
SFTA2	846	940	1158	319	888	497
DPCR1	1713	1210	2212	534	1718	340
MUC21	2274	3845	1729	779	531	1598
MUC22	1194	3958	3535	1239	2425	926
C6orf15	9135	16469	12150	6777	7601	10068
PSORS1C1	1811	1398	1389	763	864	841
CDSN	1436	1685	2370	1090	1648	1169
PSORS1C2	331	249	131	73	152	232
CCHCR1	3331	5375	1183	1543	1177	2435
TCF19	466	219	319	315	549	401
POU5F1	1984	3220	3253	2062	1548	2313
HCG27	10465	3275	4471	4458	5651	3571
HLA-C	206	87	88	73	133	36
HLA-B	1144	1094	972	780	787	2080
MICA	171	376	264	112	305	222
MICB	4450	3220	4197	2388	3408	3407
MCCD1	5181	6963	3172	2560	2459	2268
DDX39B	1995	3298	4537	3063	1743	998
ATP6V1G2-DDX39B	5401	8436	6037	2164	7009	3166
ATP6V1G2	372	265	629	864	718	413
NFKBIL1	1483	1561	1431	1124	959	982
LTA	1456	2439	2331	1227	1222	2137
TNF	4104	3661	3007	5842	3585	3000
LTB	1649	914	346	815	683	398
LST1	858	963	568	970	971	280
NCR3	3063	3664	5307	1876	2584	2032
AIF1	3290	3008	3632	1496	2237	997
PRRC2A	705	1401	1155	391	414	506
BAG6	688	1454	503	717	538	735
APOM	3538	4315	3838	3723	2522	3703
C6orf47	1505	1980	2386	845	1231	3531
GPANK1	1187	1388	2164	1528	707	1046
CSNK2B	211	108	156	165	105	130
XXbac-BPG32J3.22	11844	6428	13982	6230	9117	6583
LY6G5B	10650	4385	10765	5694	7617	9636
LY6G5C	2071	5496	6722	3658	2591	2430
ABHD16A	5041	2280	9131	3145	2062	3353
XXbac-BPG32J3.20	3017	6395	2716	2724	4131	4395
LY6G6F	1854	1454	2845	1247	1135	1173
XXbac-BPG32J3.19	1778	3371	3516	1120	1059	1974
LY6G6E	10233	12523	11058	6734	6618	1080
LY6G6D	794	615	719	921	892	1157
C6orf25	5989	2980	7054	1917	3827	2878
LY6G6C	697	1082	1267	565	808	1109
DDAH2	3136	4521	4728	2667	1694	2213
CLIC1	14279	16338	18049	10433	17200	7723
MSH5	405	781	403	472	917	848
MSH5-SAPCD1	7030	4096	5127	2342	3461	1928
SAPCD1	4438	3666	5364	4120	2920	3369
VWA7	2585	3596	3784	2987	1791	2020
VARS	94	65	143	71	47	200
LSM2	7421	7630	19591	10654	8352	3516
HSPA1L	509	979	1310	600	782	803
HSPA1A	646	730	503	306	456	435
HSPA1B	212	422	254	384	156	153
C6orf48	5974	10338	9416	7142	7473	7571
NEU1	1190	2120	1986	2582	1520	1458
SLC44A4	4629	3898	2021	1794	5556	4034
EHMT2	796	383	817	302	295	775
C2	3202	3253	2337	5189	4026	5000
ZBTB12	117	91	87	93	95	104
XXbac-BPG116M5.17	6290	4365	6245	5510	3918	7223
CFB	1984	4634	3827	5753	10044	3720
NELFE	12746	12015	6973	2312	8543	5586
SKIV2L	2093	1496	1586	543	668	775
DXO	2889	2178	2289	4107	3328	998
STK19	4629	2732	802	911	2631	2157
C4A	4904	5004	3015	1960	4395	5529
AL645922.1	1599	1190	2983	535	1621	810
C4B	3772	2525	1691	2237	1837	1456
CYP21A2	979	640	2239	462	715	559
TNXB	3091	5943	2958	3887	1465	3462
ATF6B	3398	3904	1110	3527	1598	3450
FKBPL	1778	1234	2676	928	1030	666
PRRT1	3643	4283	2987	4096	2008	4496
PPT2	109	54	74	33	36	46
PPT2-EGFL8	598	5944	4283	3534	2853	3831
EGFL8	1398	2114	2414	424	1368	767
AGPAT1	1593	730	1276	1487	1216	712
RNF5	4664	3648	1334	4335	2392	2638
AGER	2023	980	1165	470	1269	1329
PBX2	1221	484	3878	1513	1084	1782
GPSM3	1450	2061	1077	1338	1683	1906
NOTCH4	1423	1388	1477	637	527	2317
C6orf10	1517	2017	6216	3771	2040	3277
BTNL2	469	235	188	361	116	505
HLA-DRA	2791	3223	1778	1568	1697	3028
HLA-DRB5	1201	1083	1845	513	640	1523
HLA-DRB1	13	39	23	12	13	22
HLA-DQA1	5258	7227	6123	2304	1928	5238
HLA-DQB1	831	1575	646	716	464	645
HLA-DQA2	920	632	769	226	425	330
HLA-DQB2	1695	1654	1904	934	690	579
HLA-DOB	2854	5713	4665	1774	2800	2777
XXbac-BPG246D15.9	6903	4456	3765	2871	1695	4704
TAP2	7251	9348	2845	3639	4842	4325
PSMB8	2458	3633	1296	1085	2418	4053
PSMB9	668	303	603	397	386	327
TAP1	4383	4078	2459	2474	3622	1184
HLA-DMB	1344	577	979	403	432	701
XXbac-BPG181M17.5	17059	8819	4696	10218	2990	8855
HLA-DMA	264	458	234	208	206	372
